serialNumber,Title English,Title Urdu,Arabic,Urdu,English,Benefits,Description,
28,Dua When You Forget to Say Bismillah Before Meal,کھانا کھانے سے قبل اگر بسم اللہ پڑھنا بھول جائیں تو یہ دعا پڑھیں,بِسْمِ اللَّهِ أَوَّلِهِ وَآخِرِهِ,اللہ عزوجل کے نام سے اس کے پہلے اور اس کے آخر۔,Allah Azzawajal in the name of before and after it.,Benefits of Reading Dua When You Forget to Say Bismillah Before Meal (Khana Khane Se Qabal Agar Bismillah Parhna Bhool Jayen Tu Yeh Dua Parhain)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When You Forget to Say Bismillah Before Meal(Khana Khane Se Qabal Agar Bismillah Parhna Bhool Jayen Tu Yeh Dua Parhain) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When You Forget to Say Bismillah Before Meal(Khana Khane Se Qabal Agar Bismillah Parhna Bhool Jayen Tu Yeh Dua Parhain) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When You Forget to Say Bismillah Before Meal(Khana Khane Se Qabal Agar Bismillah Parhna Bhool Jayen Tu Yeh Dua Parhain). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When You Forget to Say Bismillah Before Meal",
29,Dua After Fajr &amp; Maghrib prayer,نماز فجر اور مغرب کے بعد کی دعا,اَللّٰهُمَّ أَجِرْنِي مِنَ النَّارِ,یا الٰہی عزوجل مجھے دوذخ کی آگ سے بچا۔,O Allah Azzawajal save me from the fire of Hell.,Benefits of Reading Dua After Fajr &amp; Maghrib prayer (Namaz Fajr Aur Maghrib Ke Baad Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua After Fajr & Maghrib prayer(Namaz Fajr Aur Maghrib Ke Baad Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua After Fajr & Maghrib prayer(Namaz Fajr Aur Maghrib Ke Baad Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua After Fajr & Maghrib prayer(Namaz Fajr Aur Maghrib Ke Baad Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua After Fajr &amp; Maghrib prayer",
30,Dua When Fearing The Enemy ,کسی قوم سے خطرے کی دعا,اَللّٰهُمَّ إِنَّا نَجْعَلُكَ فِي نُحُورِهِمْ وَنَعُوذُ بِكَ مِنْ شُرُورِهِمْ,اے اللہ عزوجل ہم ان (کفار و مشرکین) کے مقابل تجھے کرتے ہیں اور ان کے شر سے تیری پناہ لیتے ہیں۔,"O Allah, we make you the turner of the (enemies) chest (heart) and seek refuge in You from their evils",Benefits of Reading Dua When Fearing The Enemy (Kisi Qaum Se Khatre Ke Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Fearing The Enemy (Kisi Qaum Se Khatre Ke Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Fearing The Enemy (Kisi Qaum Se Khatre Ke Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Fearing The Enemy (Kisi Qaum Se Khatre Ke Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Fearing The Enemy ",
31,Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth,نیا عمامہ یا نئی چادر پہنتے وقت کی دعا,اَللّٰهُمَّ لَكَ الْحَمْدُ كَمَا كَسَوْتَنِيهِ أَسْأَلُكَ خَيْرَهٗ وَخَيْرَ مَا صُنِعَ لَهٗ وَأَعُوذُ مِنْ شَرِّهٖ وَشَرِّ مَا صُنِعَ لَهٗ,یا للہ عزوجل ، تمام تعریفیں تیرے ہی لئے ہیں تو نے ہی مجھے (یہ چادر یا عمامہ) پہنایا ہے اور میں تجھ سے اس کی بھلائی طلب کر تا ہوں اور اس چیز کی بھلائی جس کے لئے یہ بنایا گیا ہے اور میں اس کےشر سے تیری پناہ مانگتا ہوں اور اس چیز کے شر سے بھی جس کے لئے اس کو بنایا گیا۔,"O Allah Azzawajal, All praise is for you only, you have made me wear( this sheet of cloth or turban) and I ask you for it's goodness, and the goodness of that thing for which It has been made, and I ask you for your refuge from it's badness and badness of that thing for which it has been made.",Benefits of Reading Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth (Naya Imama Ya Nai Chadar Pehanty Waqt ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth(Naya Imama Ya Nai Chadar Pehanty Waqt ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth(Naya Imama Ya Nai Chadar Pehanty Waqt ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth(Naya Imama Ya Nai Chadar Pehanty Waqt ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Wearing A New Turban (Amaamah) or A New Sheet of Cloth",
32,Dua When Entering The Cemetery / Graveyard,قبرستان میں داخل ہوتے وقت کی دعا,السَّلَامُ عَلَيْكُمُ يَا أَهْلَ الْقُبُورِ يَغْفِرُ اللَّهُ لَنَا وَلَكُمْ أَنْتُمُ سَلَفُنَا وَنَحْنُ بِالْأَثَرِ,اے قبر والوں تم پر سلام ہو۔ اللہ عزوجل ہماری اور تمہاری مغفرت فرما۔ اور تم ہم سے پہلے پہنچ گئے اور ہم پیچھے آنےوالے ہیں۔,O dwellers of the graves peace be upon you. May Allah Azzawajal forgive us and you. You reached before us and we will follow behind you.,Benefits of Reading Dua When Entering The Cemetery / Graveyard (Qabaristan Main Dakhil Hoty Waqt ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Entering The Cemetery / Graveyard(Qabaristan Main Dakhil Hoty Waqt ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Entering The Cemetery / Graveyard(Qabaristan Main Dakhil Hoty Waqt ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Entering The Cemetery / Graveyard(Qabaristan Main Dakhil Hoty Waqt ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Entering The Cemetery / Graveyard",
33,Dua At The Time Of Lowering A Dead Body Into A Grave,میت کو قبر میں رکھتے وقت کی دعا,بِسْمِ اللَّهِ وَعَلٰی سُنَّةِ رَسُولِ اللَّهِ,اللہ عزوجل کے نام سے اور رسول اللہ صلی اللہ علیہ وسلم کے طریقہ پر (اسے دفن کرتا ہوں)۔,Allah Azzawajal in the name of and according to the way of Messenger SAW (It is burried).,Benefits of Reading Dua At The Time Of Lowering A Dead Body Into A Grave (Mayyat Ko Qabar Mein Rakhte Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua At The Time Of Lowering A Dead Body Into A Grave(Mayyat Ko Qabar Mein Rakhte Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua At The Time Of Lowering A Dead Body Into A Grave(Mayyat Ko Qabar Mein Rakhte Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua At The Time Of Lowering A Dead Body Into A Grave(Mayyat Ko Qabar Mein Rakhte Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua At The Time Of Lowering A Dead Body Into A Grave",
34,Dua Shab e Qadr (Laylat ul Qadr),شبِ قدر کی دعا,اللَّهُمَّ إِنَّكَ عَفُوٌّ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,الٰہی عزوجل تو بہت معاف فرمانے والا ہے، معاف کرنے کو پسند فرماتا ہے پس مجھے معاف فرمادے۔,"O Allah Azzawajal You are greatly forgiving, You like forgiving, so forgive me.",Benefits of Reading Dua Shab e Qadr (Laylat ul Qadr) (Shab e Qadr Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Shab e Qadr (Laylat ul Qadr)(Shab e Qadr Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Shab e Qadr (Laylat ul Qadr)(Shab e Qadr Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Shab e Qadr (Laylat ul Qadr)(Shab e Qadr Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Shab e Qadr (Laylat ul Qadr)",
35,Dua When Sighting The New Moon,نیا چاند دیکھتے وقت کی دعا,اَللّٰهُمَّ أَهِلَّهُ عَلَيْنَا بِالْيُمْنِ وَالْإِيمَانِ وَالسَّلَامَةِ وَالْإِسْلَامِ وَالتَّوْفِيقِ لِمَا تُحِبُّ وَتَرْضیٰ رَبِّي وَرَبُّكَ اللّٰہُ,یا الٰہی عزوجل اس چاند کو ہم پر برکت کے ساتھ اور ایمان و سلامتی اور اسلام اور اس چیز کی توفیق کے ساتھ نکال جس سے تو راضی ہوتا ہے اور پسند کرتا ہے، (اے پہلی رات کے چاند) میرا اور تیرا رب اللہ عزوجل ہے۔,"O Allah Azzawajal make this moon come out on us with blessings and with Iman and peace and Islam and make it come out with the ability of that thing which pleases you and that you like, (O moom of the first night my and your Lord is Allah Azzawajal).",Benefits of Reading Dua When Sighting The New Moon (Naya Chand Dekhte Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Sighting The New Moon(Naya Chand Dekhte Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Sighting The New Moon(Naya Chand Dekhte Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Sighting The New Moon(Naya Chand Dekhte Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Sighting The New Moon",
36,Dua for Bride &amp; Groom after Marriage/Nikah,نکاح کے بعد دولہا اور دلہن کے لئے دعا,بَارَكَ اللّٰہُ لَكَ وَبَارَكَ عَلَيْكُمَا وَجَمَعَ بَيْنَكُمَا فِي خَيْرٍ,اللہ عزوجل تجھ کو برکت دے اور تجھ پر برکت نازل فرمائے اور تم دونوں میں بھلائی رکھے۔,"Allah Azzwajal bless you and shower (send) blessing on you and place, goodness between both of you.",Benefits of Reading Dua for Bride &amp; Groom after Marriage/Nikah (Nikah Ke Baad Dulha Aur Dulhan Ke Liye Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua for Bride & Groom after Marriage/Nikah(Nikah Ke Baad Dulha Aur Dulhan Ke Liye Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua for Bride & Groom after Marriage/Nikah(Nikah Ke Baad Dulha Aur Dulhan Ke Liye Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua for Bride & Groom after Marriage/Nikah(Nikah Ke Baad Dulha Aur Dulhan Ke Liye Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua for Bride &amp; Groom after Marriage/Nikah",
37,Dua For Sehri,روزہ رکھنے کی نیت,وَبِصَوْمِ غَدٍ نَّوَيْتُ مِنْ شَهْرِ رَمَضَانَ,’’اورمیں نے ماہ رمضان کے کل کے روزے کی نیت کی‘‘,I Intend to keep the fast for month of Ramadan,Sehri Dua,"During making intention for fast in Ramadan the specific Sehri ki Dua is “Wa bisawmi ghadinn nawaiytu min shahri Ramadan” in roman means “I intend to keep the fast for tomorrow in the month of Ramadan”. Reciting Sehri dua is not mandatory during making intentions for fast but people read roza rakhne ki dua or Sehri ki dua because reciting Sehri dua shows the power of intention for fasting. May be on roza rakhne ki dua Allah will reward you with more blessings. Sehri is a meal which we eat before keeping fast because it’s Sunnah and it wouldn’t make you feel low during fasting hours. Eating Sehri is also a blessing and people get the blessing from Allah. After eating Sehri it is necessary to make intentions to observe fast. You can make intention for fast in your heart because it’s not necessary to show your intentions through your words and if you read Sehri ki Dua or Dua for Sehri its shows the authentication of your intentions. You can recite roza rakhne ki dua before the ending of Sehri time. Making intentions actually shows your commitment to complete the religious duties like prayers and other pillars of Islam. So similarly making intention before keeping fast is mandatory from the heart but if u recite Sehri ki dua or roza rakhne ki dua then Allah will bless you with more rewards because saying words to show your good intentions is also consider as good and it will also add in the list of your good deeds.""Dua For Sehri",
38,Dua for Iftar,روزہ افطار کرنے کی دعا,اَللّٰهُمَّ اِنِّی لَکَ صُمْتُ وَبِکَ اٰمَنْتُ وَعَلَيْکَ تَوَکَّلْتُ وَعَلٰی رِزْقِکَ اَفْطَرْتُ,’’اے اللہ!میں نے تیری خاطر روزہ رکھا اور تیرے اوپر ایمان لایا اور تجھ پر بھروسہ کیا اورتیرے رزق سے اسے کھول رہا ہوں۔‘‘,O Allah! I fasted for you and I believe in you and I put my trust in You and I break my fast with your sustenance.,Dua for Iftar,"Reciting dua for Iftar or roza kholne ki dua while breaking fast is not necessary but we read it just to follow Sunnah. If one recites dua for Iftar before breaking fast will surely receive extra blessing from Allah. The specific dua for iftar or roza kholne ki dua before breaking fast is “Allahumma inni laka sumtu wa bika aamantu [wa ‘alayka tawakkaltu]wa ‘ala rizq-ika aftarth”means “Oh Allah, I fasted for You and I believe in You and I break my fast with Your sustenance.”If someone is not reading the dua for iftar or roza kholne ki dua then there is no sin. Iftar is known as the evening meal for breaking the fast in the holy month of Ramadan. So before breaking the fast the Muslim should read Dua for Iftar or roza kholne ki dua although it’s not necessary but you can get more rewards from Allah and the dua for Iftar is اَللّٰهُمَّ اِنِّی لَکَ صُمْتُ وَبِکَ اٰمَنْتُ وَعَلَيْکَ تَوَکَّلْتُ وَعَلٰی رِزْقِکَ اَفْطَرْتُ “Oh Allah, I fasted for You and I believe in You and I break my fast with Your sustenance” Saying Dua for iftar or roza kholne ki dua is considered as Mustahib because its sunnah as narrated by Abu Dawood from Mu’aadh ibn Zuhrah listen to the Prophet (P.B.U.H) used to read, when he broke his fast, “Allaahumma laka sumtu was ‘ala rizqika aftartu”. So it is clarify that reciting dua for Iftar or roza kholne ki dua is Sunnah not a mandatory command and those who are reading it before break the fast on Iftar will awarded with blessings from God.""Dua for Iftar",
39,Dua When Looking in the Mirror,آئنہ دیکھتے وقت کی دعا,اَللّٰهُمَّ أَنْتَ حَسَّنْتَ خَلْقِي فَحَسِّنْ خُلُقِي,اللہ عزوجل تو نے میری صورت اچھی بنائی تو میری سیرت (اخلاق) بھی اچھی کردے۔,O Allah Azzawajal as you made my outward appearance good make my character good too.,Benefits of Reading Dua When Looking in the Mirror (Aaina Dekhte Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Looking in the Mirror(Aaina Dekhte Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Looking in the Mirror(Aaina Dekhte Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Looking in the Mirror(Aaina Dekhte Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Looking in the Mirror",
40,Dua for Animal Suffering Through Evil Eye (Nazar),جانور کو نزر لگ جانے پر پڑھنے کی دعا,لَا بَأْسَ أَذْهِبِ الْبَأْسَ رَبَّ النَّاسِ اشْفِ أَنْتَ الشَّافِي لَا يَكْشِفُ الضُّرَّ إِلَّا أَنْتَ,کوئی ڈر نہیں ہے(اے) انسانوں کے رب بیماری دور کردے اور شفادے دے کیوں کہ تو ہی شفا دینے والا ہے۔ تیرے سوا کوئی نقصان دور نہیں کر سکتا۔,"There is no problem, O Lord of mankind, remove the difficulty (and) grant relief for you are the One who grants relief. There is no one but You who removes difficulties.",Benefits of Reading Dua for Animal Suffering Through Evil Eye (Nazar) (Janwar Ko Nazar Lag Jaane Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua for Animal Suffering Through Evil Eye (Nazar)(Janwar Ko Nazar Lag Jaane Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua for Animal Suffering Through Evil Eye (Nazar)(Janwar Ko Nazar Lag Jaane Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua for Animal Suffering Through Evil Eye (Nazar)(Janwar Ko Nazar Lag Jaane Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua for Animal Suffering Through Evil Eye (Nazar)",
41,Dua When Drinking Zam Zam Water,آب زم زم پیتے وقت کی دعا,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ عِلْماً نَافِعاً وَرِزْقاً وَاسِعاً وَشِفَاءً مِنْ كُلِّ دَاءٍ,الٰہی عزوجل میں تجھ سے علم نافع کا اور رزق کی کشادگی کا اور بیماری سے شفایابی کا سوال کرتا ہوں۔,"Allah Azzawajal I ask you for beneficial knowledge, increase in provision and cure from illness.",Benefits of Reading Dua When Drinking Zam Zam Water (Aab e Zam Zam Pity Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Drinking Zam Zam Water(Aab e Zam Zam Pity Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Drinking Zam Zam Water(Aab e Zam Zam Pity Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Drinking Zam Zam Water(Aab e Zam Zam Pity Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Drinking Zam Zam Water",
42,Dua On A Burn Injury,جلنے کے بعد کی دعا,أَذْهِبِ الْبَأْسَ رَبَّ النَّاسِ اشْفِ أَنْتَ الشَّافِي لَا شَافِيَ إِلَّا أَنْتَ,اے اللہ! تو تمام لوگوں کا رب ہے، بیماری کو دور کر دے اور اسے شفا عطا فرما، تو ہی شفا دینے والا ہے، تیر ی شفاع کے علاوہ اور کوئی شفاع نہیں۔,"O Lord of all mankind, remove the difficulty and grant relief (for) there is no One but You who grants relief (cure)",Benefits of Reading Dua On A Burn Injury (Jalny K Bad Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua On A Burn Injury(Jalny K Bad Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua On A Burn Injury(Jalny K Bad Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua On A Burn Injury(Jalny K Bad Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua On A Burn Injury",
